rank,country_full,country_abrv,total_points,previous_points,rank_change,confederation,rank_date
1,Brazil,BRA,1841,"1837,56",0,CONMEBOL,2022-10-06
2,Belgium,BEL,1817,"1821,92",0,UEFA,2022-10-06
3,Argentina,ARG,1774,"1770,65",0,CONMEBOL,2022-10-06
4,France,FRA,1760,"1764,85",0,UEFA,2022-10-06
5,England,ENG,1728,"1737,46",0,UEFA,2022-10-06
6,Italy,ITA,1726,"1713,86",-1,UEFA,2022-10-06
7,Spain,ESP,1715,"1716,93",1,UEFA,2022-10-06
8,Netherlands,NED,1695,"1679,41",0,UEFA,2022-10-06
9,Portugal,POR,1677,"1678,65",0,UEFA,2022-10-06
10,Denmark,DEN,1667,"1665,47",0,UEFA,2022-10-06
11,Germany,GER,1650,"1658,96",0,UEFA,2022-10-06
12,Croatia,CRO,1646,"1632,15",-3,UEFA,2022-10-06
13,Mexico,MEX,1645,"1649,57",1,CONCACAF,2022-10-06
14,Uruguay,URU,1639,"1640,95",1,CONMEBOL,2022-10-06
15,Switzerland,SUI,1636,"1621,43",-1,UEFA,2022-10-06
16,USA,USA,1627,"1635,01",2,CONCACAF,2022-10-06
17,Colombia,COL,1611,"1604,07",0,CONMEBOL,2022-10-06
18,Senegal,SEN,1584,"1584,59",0,CAF,2022-10-06
19,Wales,WAL,1570,"1582,13",0,UEFA,2022-10-06
20,IR Iran,IRN,1565,"1558,64",-2,AFC,2022-10-06
21,Serbia,SRB,1564,"1549,53",-4,UEFA,2022-10-06
22,Morocco,MAR,1564,"1558,35",-1,CAF,2022-10-06
23,Peru,PER,1561,"1562,24",2,CONMEBOL,2022-10-06
24,Japan,JPN,1560,"1554,69",0,AFC,2022-10-06
25,Sweden,SWE,1553,"1563,44",5,UEFA,2022-10-06
26,Poland,POL,1549,"1546,18",0,UEFA,2022-10-06
27,Ukraine,UKR,1537,"1542,79",0,UEFA,2022-10-06
28,Korea Republic,KOR,1530,"1526,02",0,AFC,2022-10-06
29,Chile,CHI,1510,"1514,86",0,CONMEBOL,2022-10-06
30,Tunisia,TUN,1508,"1507,86",0,CAF,2022-10-06
31,Costa Rica,CRC,1504,"1500,06",-3,CONCACAF,2022-10-06
32,Nigeria,NGA,1498,"1504,7",1,CAF,2022-10-06
